Alphabet keys,9,1
A,A,
B,B,
C,C,
D,D,
E,E,
F,F,
G,G,
H,H,
I,I,
J,J,
K,K,
L,L,
M,M,
N,N,
O,O,
P,P,
Q,Q,
R,R,
S,S,
T,T,
U,U,
V,V,
W,W,
X,X,
Y,Y,
Z,Z,
,,
Number keys,4,1
1,!,1
2,@,2
3,#,3
4,$,4
5,%,5
6,^,6
7,&,7
8,*,8
9,(,9
0,),0
,,
Modifier keys,4,1
LEFT_ALT,Left Alt,
RIGHT_ALT,Right Alt,
LEFT_CTRL,Left Ctrl,
RIGHT_CTRL,Right Ctrl,
LEFT_SHIFT,Left Shift,
RIGHT_SHIFT,Right Shift,
LEFT_SUPER,Left Super,
RIGHT_SUPER,Right Super,
,,
Actions,4,1
ENTER,Enter,
BKSP,Bksp,
DEL,Del,
TAB,Tab,
SPACE,Space,
CAPS,Caps,
APP,Menu,
ESC,Esc,
PRINT_SCREEN,PrtSc,
INSERT,Ins,
RESET,Reset,
ROLL_OVER,Reuse,
,,
Function keys,4,1
F1,F1,
F2,F2,
F3,F3,
F4,F4,
F5,F5,
F6,F6,
F7,F7,
F8,F8,
F9,F9,
F10,F10,
F11,F11,
F12,F12,
,,
Numpad,6,1
NUM_LOCK,Num Lock,
NUM_7,7,
NUM_8,8,
NUM_9,9,
NUM_MINUS,-,
NUM_PLUS,+,
NUM_SLASH,/,
NUM_4,4,
NUM_5,5,
NUM_6,6,
NUM_ASTERISK,*,
NUM_ENTER,Enter,
NUM_0,0,
NUM_1,1,
NUM_2,2,
NUM_3,3,
NUM_PERIOD,.,
,,
Symbols,6,1
TICK,~,`
QUOTE,"""",'
SEMICOLON,:,;
MINUS,_,-
EQUALS,+,=
SLASH,?,/
COMMA,<,","
PERIOD,>,.
BACKSLASH,|,\
BRACE_OPEN,{,[
BRACE_CLOSE,},]
,,
Navigation,4,1
LEFT,Left,
UP,Up,
DOWN,Down,
RIGHT,Right,
HOME,Home,
PGUP,PgUp,
PGDN,PgDn,
END,End,
,,
Media,3,1
MUTE,Mute,
VOLUME_UP,Vol Up,
VOLUME_DOWN,Vol Down,
PLAY_PAUSE,Play Pause,
MEDIA_NEXT,Next Track,
MEDIA_PREV,Prev Track,
,,
Controls,4,2
DISPLAY_TOGGLE,Screen Toggle,
BRIGHTNESS_UP,Screen Up,
BRIGHTNESS_DOWN,Screen Down,
DISPLAY_MODE,Screen Mode,
SUSPEND,Suspend,
CAMERA_TOGGLE,Camera Toggle,
AIRPLANE_MODE,Airplane Mode,
TOUCHPAD,Touchpad,Toggle
,,
LED controls,4,1
KBD_TOGGLE,LED Toggle,
KBD_UP,LED Up,
KBD_DOWN,LED Down,
KBD_BKL,LED Cycle,
KBD_COLOR,LED Color,
,,
Layer keys,4,1
LAYER_ACCESS_1,Access Layer 1,
FN,Access Layer 2,
LAYER_ACCESS_3,Access Layer 3,
LAYER_ACCESS_4,Access Layer 4,
LAYER_TOGGLE_1,Toggle Layer 1,
LAYER_TOGGLE_2,Toggle Layer 2,
LAYER_TOGGLE_3,Toggle Layer 3,
LAYER_TOGGLE_4,Toggle Layer 4,
