FN,0x1000
DISPLAY_MODE,0x2000
PRINT_SCREEN,0x2001
DISPLAY_TOGGLE,0x400B
BRIGHTNESS_DOWN,0x4011
BRIGHTNESS_UP,0x4012
CAMERA_TOGGLE,0x4013
AIRPLANE_MODE,0x4014
SUSPEND,0x4015
KBD_COLOR,0x8080
KBD_DOWN,0x8081
KBD_UP,0x8082
KBD_BKL,0x808A
KBD_TOGGLE,0x809F
PLAY_PAUSE,0x0134
MUTE,0x0123
VOLUME_DOWN,0x0121
VOLUME_UP,0x0132
MEDIA_NEXT,0x014D
MEDIA_PREV,0x0115
TOUCHPAD,0x0163
F1,0x0005
F2,0x0006
F3,0x0004
F4,0x000C
F5,0x0003
F6,0x000B
F7,0x0083
F8,0x000A
F9,0x0001
F10,0x0009
F11,0x0078
F12,0x0007
0,0x0045
1,0x0016
2,0x001E
3,0x0026
4,0x0025
5,0x002E
6,0x0036
7,0x003D
8,0x003E
9,0x0046
A,0x001C
B,0x0032
C,0x0021
D,0x0023
E,0x0024
F,0x002B
G,0x0034
H,0x0033
I,0x0043
J,0x003B
K,0x0042
L,0x004B
M,0x003A
N,0x0031
O,0x0044
P,0x004D
Q,0x0015
R,0x002D
S,0x001B
T,0x002C
U,0x003C
V,0x002A
W,0x001D
X,0x0022
Y,0x0035
Z,0x001A
ESC,0x0076
TICK,0x000E
MINUS,0x004E
EQUALS,0x0055
BKSP,0x0066
TAB,0x000D
BRACE_OPEN,0x0054
BRACE_CLOSE,0x005B
BACKSLASH,0x005D
CAPS,0x0058
SEMICOLON,0x004C
QUOTE,0x0052
ENTER,0x005A
LEFT_SHIFT,0x0012
COMMA,0x0041
PERIOD,0x0049
SLASH,0x004A
RIGHT_SHIFT,0x0059
LEFT_CTRL,0x0014
LEFT_SUPER,0x011F
LEFT_ALT,0x0011
SPACE,0x0029
RIGHT_ALT,0x0111
RIGHT_SUPER,0x0127
APP,0x012F
RIGHT_CTRL,0x0114
INSERT,0x0170
DEL,0x0171
HOME,0x016C
END,0x0169
PGUP,0x017D
PGDN,0x017A
UP,0x0175
LEFT,0x016B
DOWN,0x0172
RIGHT,0x0174
NUM_LOCK,0x0077
NUM_SLASH,0x014A
NUM_ASTERISK,0x007C
NUM_MINUS,0x007B
NUM_PLUS,0x0079
NUM_PERIOD,0x0071
NUM_ENTER,0x015A
NUM_0,0x0070
NUM_1,0x0069
NUM_2,0x0072
NUM_3,0x007A
NUM_4,0x006B
NUM_5,0x0073
NUM_6,0x0074
NUM_7,0x006C
NUM_8,0x0075
NUM_9,0x007D
